filepath,filename,class,split,extension,width,height,mode,format,frames,file_size_bytes,sha256,decode_ok,error,pillow_warnings
dataset/train/Black spot/2025_12_20_IMG (198).JPG,2025_12_20_IMG (198).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,43891,701a3c16bfa2e7ae450f6d331f8c829f71fd93e108fe2a5deadeb016b845b226,True,,
dataset/train/Black spot/2025_12_20_IMG (200).JPG,2025_12_20_IMG (200).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,35713,2703b9ce1b13a1ea0fd132d8bd182c7fa6fb4dcba44681557599fc2ae7001dbd,True,,
dataset/train/Black spot/2025_12_20_IMG (202).JPG,2025_12_20_IMG (202).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,37709,ee890acc8636e710ddff67883202a9af4387bc8124d316f64b22e7c3e91ae66d,True,,
dataset/train/Black spot/2025_12_20_IMG (204).JPG,2025_12_20_IMG (204).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,39423,76107aa48e9dc9c91c6e870809079ef0c43a1224e8ac631fff3299ee56796bcf,True,,
dataset/train/Black spot/2025_12_20_IMG (205).JPG,2025_12_20_IMG (205).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,37230,fb4c3718ef7c2276d81af864a16141858c6bf3ae482e4a548bf369a56d365d69,True,,
dataset/train/Black spot/2025_12_20_IMG (207).JPG,2025_12_20_IMG (207).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,39596,4db18f78e9610e1ae6db373469c32776dc8580fbe5f3a6b2f9d0af094f146701,True,,
dataset/train/Black spot/2025_12_20_IMG (208).JPG,2025_12_20_IMG (208).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,37062,5b1d648dc4f25174b859a88dc7f3140142bdc2886b919aa9236a6da4a7af6e1c,True,,
dataset/train/Black spot/2025_12_20_IMG (209).JPG,2025_12_20_IMG (209).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,43000,875e76ea656761531a237a4e985329b50a886c85009d6c4c4e88508182e08542,True,,
dataset/train/Black spot/2025_12_20_IMG (21).JPG,2025_12_20_IMG (21).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,38617,b6de34df42df5656a825b9d0e4eaddfbd3c2edc20ca7c593d2a72cdbd81a5d85,True,,
dataset/train/Black spot/2025_12_20_IMG (210).JPG,2025_12_20_IMG (210).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,38320,29c7c80b2e2cc16009aebea75926af4811d0f92440d921a1b1d72afb8b334e84,True,,
dataset/train/Black spot/2025_12_20_IMG (212).JPG,2025_12_20_IMG (212).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,30681,5c3826a67bbca2f822482d0c8cf396a86d57483fef6dd095e6ed6c234291c5a5,True,,
dataset/train/Black spot/2025_12_20_IMG (213).JPG,2025_12_20_IMG (213).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,33773,f4f665bfcc140c0854aa07c9b0be23691743797e3644723baf2f5974de1483fb,True,,
dataset/train/Black spot/2025_12_20_IMG (214).JPG,2025_12_20_IMG (214).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,31470,6f429376da68350304ff918c2baf2fab50e6f2d4d3e13e065c9ef47a5701f8e8,True,,
dataset/train/Black spot/2025_12_20_IMG (215).JPG,2025_12_20_IMG (215).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,37185,19e6c7160cb1084f8a4233114e79e76e4b5ca9dda275eae16cde0c9333c38c18,True,,
dataset/train/Black spot/2025_12_20_IMG (216).JPG,2025_12_20_IMG (216).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,37500,f636eed3141450e164b885e9546e317c6110674c70c6b9d7b77156c1169aa303,True,,
dataset/train/Black spot/2025_12_20_IMG (217).JPG,2025_12_20_IMG (217).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,36735,2bbf606cf16629846883bb342701b74c4395bdc862cd05c6f21ab0692a3ab0c0,True,,
dataset/train/Black spot/2025_12_20_IMG (218).JPG,2025_12_20_IMG (218).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,35050,734cae4c3b20f26da0ae0dfd78f88c7dd7975096b83c2515f378f99a5e2fdd02,True,,
dataset/train/Black spot/2025_12_20_IMG (219).JPG,2025_12_20_IMG (219).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,33036,cff0458c303f1d4baf6dd40bf6423e1652c9ab1fb9b7b3fd3db97fb49eb75b8d,True,,
dataset/train/Black spot/2025_12_20_IMG (22).JPG,2025_12_20_IMG (22).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,36471,aeb7d0e5fa456db388d038a8a861162be9088468296039b629ba08487f105adc,True,,
dataset/train/Black spot/2025_12_20_IMG (222).JPG,2025_12_20_IMG (222).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,35984,90d135d58d631ee4a14562624bb4f7f64b9589b7ea31c1e38dd3753b25bfda00,True,,
dataset/train/Black spot/2025_12_20_IMG (224).JPG,2025_12_20_IMG (224).JPG,Black spot,train,.jpg,4032,3024,RGB,JPEG,1,713501,ec604ef0a26b8bd65a9ee6a7786de62383e5b5d9d0187a69897a2cc765eaf643,True,,
dataset/train/Black spot/2025_12_20_IMG (226).JPG,2025_12_20_IMG (226).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,34178,0da904619981141da9029d469aa1992422299f10f31ef602cb508dd89f64403b,True,,
dataset/train/Black spot/2025_12_20_IMG (228).JPG,2025_12_20_IMG (228).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,30049,d9501f031ca2d24022e49a992e111cb66af835309ba708a9f2c66e9d3103944b,True,,
dataset/train/Black spot/2025_12_20_IMG (229).JPG,2025_12_20_IMG (229).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,27059,43af3944539472859104a0eb561905dd87cb7f24503c035458531299b329d35c,True,,
dataset/train/Black spot/2025_12_20_IMG (230).JPG,2025_12_20_IMG (230).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,26572,fbd83f56fa102337d68c1955bbff4c16a0200c9fac0a5395fe5e16f4312cc10f,True,,
dataset/train/Black spot/2025_12_20_IMG (231).JPG,2025_12_20_IMG (231).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,31284,d27754b5dfc25774988443cfff2f17fc3a8c13a83c3a43588643f4ed61dc89b7,True,,
dataset/train/Black spot/2025_12_20_IMG (233).JPG,2025_12_20_IMG (233).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,37859,284616e103f92ee472bcd00c83c21ac9a1d5613089611a073f8484de5bd83850,True,,
dataset/train/Black spot/2025_12_20_IMG (235).JPG,2025_12_20_IMG (235).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,34229,24ca8cc22b5b10c77cfa16805594fa0a9361bc73562441668a0a6c4a35f7e0c6,True,,
dataset/train/Black spot/2025_12_20_IMG (236).JPG,2025_12_20_IMG (236).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,34532,198f795f837601300bf9fd074ffba613abdbf66ae7a0b137c8b88df17aa9dcde,True,,
dataset/train/Black spot/2025_12_20_IMG (237).JPG,2025_12_20_IMG (237).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,42325,efa28121002b4781043d1dac7e246f99d09972a53aed0154035f61f90dceb465,True,,
dataset/train/Black spot/2025_12_20_IMG (238).JPG,2025_12_20_IMG (238).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,36017,b2b406306ce2ecb3a76c1ec02972f105f76b605f76f5e5f1dcca02a27af21cad,True,,
dataset/train/Black spot/2025_12_20_IMG (239).JPG,2025_12_20_IMG (239).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,33952,b31153165b9b291846ced1e968bf0e0a16dafe2d85b9d01210b54206bde372cf,True,,
dataset/train/Black spot/2025_12_20_IMG (24).JPG,2025_12_20_IMG (24).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,42980,7a7d683b5fe0402a65d6f81c1fc0a965c86f3bc521d4390e597b84aac7f2b961,True,,
dataset/train/Black spot/2025_12_20_IMG (240).JPG,2025_12_20_IMG (240).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,33154,c39e78839ddef7bc64145c5310b9ba8fe5c37a4567a254d8982ae91e66939773,True,,
dataset/train/Black spot/2025_12_20_IMG (241).JPG,2025_12_20_IMG (241).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,36221,028e3ea86eb632f7b73983a1f7b9ecb4317565253401e36096af2baab80cb743,True,,
dataset/train/Black spot/2025_12_20_IMG (242).JPG,2025_12_20_IMG (242).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,40880,872c0f84c376840853a18df61df81286080b28bce22640dc3c23c9e9d27a736c,True,,
dataset/train/Black spot/2025_12_20_IMG (243).JPG,2025_12_20_IMG (243).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,39057,e37d29fb8bb810231648f13f7013849714c029cf5a25f191d3386fa4d2addc0f,True,,
dataset/train/Black spot/2025_12_20_IMG (244).JPG,2025_12_20_IMG (244).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,38343,148d0edf2530defdf3e28cc257121bed3095695265bc753a46f597072c44607c,True,,
dataset/train/Black spot/2025_12_20_IMG (245).JPG,2025_12_20_IMG (245).JPG,Black spot,train,.jpg,4032,3024,RGB,JPEG,1,913401,7b98396c73767d374d9a36decb78dc38c8ab233ac90e8fbe57630c33444260a6,True,,
dataset/train/Black spot/2025_12_20_IMG (247).JPG,2025_12_20_IMG (247).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,40163,12e3c47296b95340bde5d9a50bfc3be1500a0ee41be8175d554001c571c6dc77,True,,
dataset/train/Black spot/2025_12_20_IMG (248).JPG,2025_12_20_IMG (248).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,36970,9d45486936121441565b779efc96194c31a04861de6cba7fe657f88af491b41e,True,,
dataset/train/Black spot/2025_12_20_IMG (249).JPG,2025_12_20_IMG (249).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,37706,8b89dcf8d83f755d91d706c214ba9046628508e990fe75544787660bf71f8fc0,True,,
dataset/train/Black spot/2025_12_20_IMG (25).JPG,2025_12_20_IMG (25).JPG,Black spot,train,.jpg,4032,3024,RGB,JPEG,1,755145,43eb8bbfa85185ea679a0504915b9d82244d27ed5e62757f801c84193acc75a0,True,,
dataset/train/Black spot/2025_12_20_IMG (250).JPG,2025_12_20_IMG (250).JPG,Black spot,train,.jpg,4032,3024,RGB,JPEG,1,777529,5bfe6c63e08214c64613d3c90d3d477462be878286968637fc7324ba4d185a77,True,,
dataset/train/Black spot/2025_12_20_IMG (251).JPG,2025_12_20_IMG (251).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,36358,76ecf4b146423fe66e4da32f98973213544e4cf169e810242ac03a5838aa6d50,True,,
dataset/train/Black spot/2025_12_20_IMG (252).JPG,2025_12_20_IMG (252).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,39994,6a605a9f590ac2492d5820027640b17051bf3b32d6d9775b55fdd150773e0ee3,True,,
dataset/train/Black spot/2025_12_20_IMG (253).JPG,2025_12_20_IMG (253).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,35203,e1d650f053865efc8e94d3a8edddb7e6d661f286028c44d9f4893d4235679738,True,,
dataset/train/Black spot/2025_12_20_IMG (255).JPG,2025_12_20_IMG (255).JPG,Black spot,train,.jpg,4032,3024,RGB,JPEG,1,531140,ef37aed89e46389255147603b45380b8712f24fd53f2bcd1fe9a0dabb4767e3b,True,,
dataset/train/Black spot/2025_12_20_IMG (259).JPG,2025_12_20_IMG (259).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,29880,cf8d16d3f721febadae37e1dcde0ac5305dd1c08c4fa32a9f17d453baf9d607f,True,,
dataset/train/Black spot/2025_12_20_IMG (26).JPG,2025_12_20_IMG (26).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,37101,c0c7c4b3521375c11cb5898676d21cce57c8a72df73efaea5c11cb51198d55c4,True,,
dataset/train/Black spot/2025_12_20_IMG (260).JPG,2025_12_20_IMG (260).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,32150,3aa0eb2869e6d462ac8debc96e40279661bab5b98230c1d23095012f757ac8be,True,,
dataset/train/Black spot/2025_12_20_IMG (261).JPG,2025_12_20_IMG (261).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,32478,278d05239827f308c26711679dba801974124e4b05f43e0a56c4d46435cc12f3,True,,
dataset/train/Black spot/2025_12_20_IMG (263).JPG,2025_12_20_IMG (263).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,35787,65a712d43fea2d502797f05556e160b8fe8ac3b8e8af6eeaeaa5ed2af5613523,True,,
dataset/train/Black spot/2025_12_20_IMG (265).JPG,2025_12_20_IMG (265).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,31988,29baee385863044c5112be270af8c8e2fb88fc4fd058f09d925677e137421f57,True,,
dataset/train/Black spot/2025_12_20_IMG (268).JPG,2025_12_20_IMG (268).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,37085,bb41c1a81885f3163a9a15c220597f311083914cd6e45f7fffec591013d19077,True,,
dataset/train/Black spot/2025_12_20_IMG (269).JPG,2025_12_20_IMG (269).JPG,Black spot,train,.jpg,4032,3024,RGB,JPEG,1,709653,a57fa8f95d2053c2cea8d53441f233af1371eb9696bc97b491ae1abf456654f5,True,,
dataset/train/Black spot/2025_12_20_IMG (270).JPG,2025_12_20_IMG (270).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,37172,54af682e98257fbea9c1657e83eb2c8dc114c61878dd3060a2187b5728223906,True,,
dataset/train/Black spot/2025_12_20_IMG (271).JPG,2025_12_20_IMG (271).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,36199,e4b18ed4e25193d1192322623ba162dde2391d314a8f742e59c4317eeecc15d3,True,,
dataset/train/Black spot/2025_12_20_IMG (272).JPG,2025_12_20_IMG (272).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,34320,0107052cfc5d653b474a9cbf26792a5b014deda6945fb5013e7560d3d5f38c7d,True,,
dataset/train/Black spot/2025_12_20_IMG (275).JPG,2025_12_20_IMG (275).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,37128,9ba14e32836be7ed910a23b151ec490f87e7092cd7d2925781cf4bde6d9313e0,True,,
dataset/train/Black spot/2025_12_20_IMG (277).JPG,2025_12_20_IMG (277).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,39600,3332719f84a85235aab9cc40d4dcf317ce5ab402a10f9693452f5c5e0a6b782d,True,,
dataset/train/Black spot/2025_12_20_IMG (279).JPG,2025_12_20_IMG (279).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,37328,ed7cc99c1ad807ca31578f4e729e7c588f0b160c6451e75b3027e040d5c9727c,True,,
dataset/train/Black spot/2025_12_20_IMG (28).JPG,2025_12_20_IMG (28).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,42585,a69c34fc427fd9bfb926056c73ee4fdea8a4cedbf12e744c31116cdbfa7a2ecb,True,,
dataset/train/Black spot/2025_12_20_IMG (280).JPG,2025_12_20_IMG (280).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,38292,95a2752175f3442b56c921ca65746020d5fdbd0a1089459d21cb203d6abcabc7,True,,
dataset/train/Black spot/2025_12_20_IMG (281).JPG,2025_12_20_IMG (281).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,36492,23d56f719aa77d7e4ab4ea480c4e55962e331c8be7e04a93828c3028ba07dfb5,True,,
dataset/train/Black spot/2025_12_20_IMG (282).JPG,2025_12_20_IMG (282).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,38921,cca64d34b268da11e8b9e184e31819079cb58f0946cf2f624f78595fb9682037,True,,
dataset/train/Black spot/2025_12_20_IMG (283).JPG,2025_12_20_IMG (283).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,41134,8c62b9545d4147e819056c53af7c3fe93500cec2d1dfac771c6465e3ece23d7a,True,,
dataset/train/Black spot/2025_12_20_IMG (284).JPG,2025_12_20_IMG (284).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,41878,f440365688c2fa20aed353a453ee9d053420616f5c275a870699ffa6567e973b,True,,
dataset/train/Black spot/2025_12_20_IMG (286).JPG,2025_12_20_IMG (286).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,36592,6e8a55963fc4f155f15a66b2165451ff2839b1104fb8ed80ee6169bea3f5b2ca,True,,
dataset/train/Black spot/2025_12_20_IMG (287).JPG,2025_12_20_IMG (287).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,46302,15cc03495bf1571adfec3403d570821f739161af555d5a3dadb89fa5d8ec265f,True,,
dataset/train/Black spot/2025_12_20_IMG (288).JPG,2025_12_20_IMG (288).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,45308,c403a4ac4f13b6b50b0d67840521c69ff1fb7b88af137543db04d4fea442c5cc,True,,
dataset/train/Black spot/2025_12_20_IMG (29).JPG,2025_12_20_IMG (29).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,39303,6f3f3bbd9c8706d9c337c31cbdd571e65796f6dbb0b02124224e92c243494df9,True,,
dataset/train/Black spot/2025_12_20_IMG (290).JPG,2025_12_20_IMG (290).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,33652,a2af7ac01a34254d5a162b13ce3d95d16ef8bb001a585bd8290f6ac4511863f8,True,,
dataset/train/Black spot/2025_12_20_IMG (291).JPG,2025_12_20_IMG (291).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,33670,85a2d342a94973167b22d3f327329f90da047e1ffddd6ec63603a4df57e0fa0e,True,,
dataset/train/Black spot/2025_12_20_IMG (295).JPG,2025_12_20_IMG (295).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,32681,c63945d8f72cf05106c682ec0055fbdf6f434d69363aa14d765556a4d36dea6d,True,,
dataset/train/Black spot/2025_12_20_IMG (296).JPG,2025_12_20_IMG (296).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,44865,cd9d909ae91cc36717f674cb24a214fad0751671abf619c2f282b6ca24ee0219,True,,
dataset/train/Black spot/2025_12_20_IMG (297).JPG,2025_12_20_IMG (297).JPG,Black spot,train,.jpg,4032,3024,RGB,JPEG,1,706499,feba47d4e1c50220d1beec3fabf270b4c1fc6cd66da337cea46660a540a3702d,True,,
dataset/train/Black spot/2025_12_20_IMG (298).JPG,2025_12_20_IMG (298).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,43514,e2f1cd94c393360eb7582d4b12e842f46abb799c0a2c292773c0de9d6a3ce2de,True,,
dataset/train/Black spot/2025_12_20_IMG (299).JPG,2025_12_20_IMG (299).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,44069,25a99eee4b9599a9b8aeb94cf424da60ac106f66cb220e70f1cd63471cf6eba9,True,,
dataset/train/Black spot/2025_12_20_IMG (3).JPG,2025_12_20_IMG (3).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,33973,100e4ea180fd0ad35aa9b94363caec2168c793b1ec52690f0b8341c4814fc754,True,,
dataset/train/Black spot/2025_12_20_IMG (30).JPG,2025_12_20_IMG (30).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,41205,c150b6362ad9f1861878125d2228504fa1562ed29a5a1ca7ff78f3d3d74199bc,True,,
dataset/train/Black spot/2025_12_20_IMG (301).JPG,2025_12_20_IMG (301).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,43604,adf9fcc9d3c1ce7c79c4fbc79f38dbe844cc9fc2b90fa28c5ac982baae8c682d,True,,
dataset/train/Black spot/2025_12_20_IMG (302).JPG,2025_12_20_IMG (302).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,40286,0f2c31ba8bcfa1e2419e3fb412a99ba493e8fe5ae21614955e4ff3ff21f40ade,True,,
dataset/train/Black spot/2025_12_20_IMG (303).JPG,2025_12_20_IMG (303).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,34894,e32ed2a991ef5f3cf75048a2c4c6d922b2bca79c5d19323bf7d4c2c656e35728,True,,
dataset/train/Black spot/2025_12_20_IMG (304).JPG,2025_12_20_IMG (304).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,32468,cf1d305d07601baf7a522cc5622e3567a1da788395f0c90a5c1fa4bdc3eeb811,True,,
dataset/train/Black spot/2025_12_20_IMG (306).JPG,2025_12_20_IMG (306).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,41737,4c203a3bc4a8f596d9fc67dfdd2988c971f8ac7d20118c433d6514ac4d84a16b,True,,
dataset/train/Black spot/2025_12_20_IMG (307).JPG,2025_12_20_IMG (307).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,35582,2c2cb8e37acba40e7741196905f24f12c74c1e46be9719e3e6dc61c3a82b132f,True,,
dataset/train/Black spot/2025_12_20_IMG (31).JPG,2025_12_20_IMG (31).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,35814,6fdd972ba3a5578db3ebe8b35d845a6d1d42757b256bdd2f0c6389d45438aa2d,True,,
dataset/train/Black spot/2025_12_20_IMG (312).JPG,2025_12_20_IMG (312).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,43275,ccc9e31c5920990961100ce0ac9529462c11e8d42523ccb74c5d441f3e64846e,True,,
dataset/train/Black spot/2025_12_20_IMG (313).JPG,2025_12_20_IMG (313).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,45553,9f193e88e8106e2af7afbcadca08c28374828255616698bbcfe57d73cf8b6c73,True,,
dataset/train/Black spot/2025_12_20_IMG (314).JPG,2025_12_20_IMG (314).JPG,Black spot,train,.jpg,4032,3024,RGB,JPEG,1,664132,06043455cdca74d739e30e66062b60baa8ac67914e6fd70b2c5366b5267fc42b,True,,
dataset/train/Black spot/2025_12_20_IMG (315).JPG,2025_12_20_IMG (315).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,42960,6270d2415926a61c1844c53d930c353c3008c5e97d7660742fbc2b48183572cf,True,,
dataset/train/Black spot/2025_12_20_IMG (316).JPG,2025_12_20_IMG (316).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,44516,f7df2743b51e5dbf0a20d64aa909cb91984f19ae145913b38c6826a023e1245f,True,,
dataset/train/Black spot/2025_12_20_IMG (317).JPG,2025_12_20_IMG (317).JPG,Black spot,train,.jpg,4032,3024,RGB,JPEG,1,829292,eff1ec0d3d165c1497391eb2fcf17a19bfc1c8a8fcab89d7d80428406af11c85,True,,
dataset/train/Black spot/2025_12_20_IMG (318).JPG,2025_12_20_IMG (318).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,33975,f7ccb6e66d3ac65578b06c332134bc9e625e25c64e588fbda246d5482b9c7980,True,,
dataset/train/Black spot/2025_12_20_IMG (319).JPG,2025_12_20_IMG (319).JPG,Black spot,train,.jpg,4032,3024,RGB,JPEG,1,1052584,14e3dbd44eee34fe590531a6bbf4164fb613d04b50287a1302da17b93d6d43a5,True,,
dataset/train/Black spot/2025_12_20_IMG (32).JPG,2025_12_20_IMG (32).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,42668,c074adf6b1ce62a31afdea9103dda870f483a22bb550bf8a2ae9b4d21d98046b,True,,
dataset/train/Black spot/2025_12_20_IMG (320).JPG,2025_12_20_IMG (320).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,35270,72ac9037802b998884ec44206afc3f03e4fe466e9aee0a9c1e8e2435b56e31cc,True,,
dataset/train/Black spot/2025_12_20_IMG (321).JPG,2025_12_20_IMG (321).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,40907,2ab78d58b7ecbf97fc12f8f0f3759b494c235495a6d62c634c8775742be7b6fc,True,,
dataset/train/Black spot/2025_12_20_IMG (322).JPG,2025_12_20_IMG (322).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,41533,64a3951b0045d96a9653c28617a09b83f2fc688076f08b842dfc20be09771905,True,,
dataset/train/Black spot/2025_12_20_IMG (323).JPG,2025_12_20_IMG (323).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,41082,3333515ab19bc6187182931867f8faf9a27eecc244dab93802b8c712c274d1dd,True,,
dataset/train/Black spot/2025_12_20_IMG (324).JPG,2025_12_20_IMG (324).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,33631,f01c110daba7be0a801e0dc486842e17caccaa8d5a0f604ac859a373d80aef5c,True,,
dataset/train/Black spot/2025_12_20_IMG (325).JPG,2025_12_20_IMG (325).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,35248,db6ee31a8168ad5c3620118a64e176b5483ab488f98774bb15378f4378f680f0,True,,
dataset/train/Black spot/2025_12_20_IMG (326).JPG,2025_12_20_IMG (326).JPG,Black spot,train,.jpg,4032,3024,RGB,JPEG,1,424903,e6f2a7b8ac2e03b72525f156e8fc8104765058086440dfea31e9c50d0d4c7154,True,,
dataset/train/Black spot/2025_12_20_IMG (328).JPG,2025_12_20_IMG (328).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,35566,1253db8a6add0e79576e644cbef90037edaa86702da54d167474ae2a2512942a,True,,
dataset/train/Black spot/2025_12_20_IMG (329).JPG,2025_12_20_IMG (329).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,36296,905f04596dd4d8cf52d8fb3d4eb7b91c4af2ea34ea05ed3c9ba06216b1399bdf,True,,
dataset/train/Black spot/2025_12_20_IMG (33).JPG,2025_12_20_IMG (33).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,37409,e11e7c2dd814516b8bc0aa787fb405be17b75d03afd643673e992194c28d641e,True,,
dataset/train/Black spot/2025_12_20_IMG (35).JPG,2025_12_20_IMG (35).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,44537,bf0fe19fd706c8874b82d10824bc467f094186a7f9fbd24cf2b89154c11dd06d,True,,
dataset/train/Black spot/2025_12_20_IMG (36).JPG,2025_12_20_IMG (36).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,34299,749871a067f7e739d530d2d2c4812d6950827d05a3357dab87e4f79c63436c1e,True,,
dataset/train/Black spot/2025_12_20_IMG (37).JPG,2025_12_20_IMG (37).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,33705,572e25b5919a460c5d37d96ce0893e5e927e68c7a6f2f8179b941826cf343d4c,True,,
dataset/train/Black spot/2025_12_20_IMG (38).JPG,2025_12_20_IMG (38).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,33221,6cd1daec0c63b6083762917f3a7103b5cf7e0affc7c480b5104ff8e3fde4ef46,True,,
dataset/train/Black spot/2025_12_20_IMG (39).JPG,2025_12_20_IMG (39).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,33024,a8e688e0f54e82d71615ec0cdea75014f26fa2bccc235877a9fe3ecbf55923bd,True,,
dataset/train/Black spot/2025_12_20_IMG (4).JPG,2025_12_20_IMG (4).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,34703,ef7ef5ba7ffb586040d33c1a2a2dc5089cfc1246ac4bbc36518b66140443a9cc,True,,
dataset/train/Black spot/2025_12_20_IMG (40).JPG,2025_12_20_IMG (40).JPG,Black spot,train,.jpg,560,420,RGB,JPEG,1,32160,e91a1aa956609538a4084015176c63319b182133b924a7ee9605ccb6f11ceaf8,True,,
